Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,O app coleta ou compartilha algum dos tipos de dados do usuário obrigatórios?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,false,MAYBE_REQUIRED,Os dados dos usuários coletados pelo app são criptografados em trânsito?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Nome de usuário e senha
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Nome de usuário e outras autenticações
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Nome de usuário, senha e outras autenticações"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Outro
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Meu app não permite que os usuários criem uma conta
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Descreva o método de criação de contas oferecido pelo app
PSL_ACCOUNT_DELETION_URL,,,MAYBE_REQUIRED,Adicione um link que os usuários possam usar para solicitar a exclusão da conta e dos dados 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,,SINGLE_CHOICE,Você oferece um meio para que os usuários solicitem que os dados deles sejam excluídos? / Sim
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,,SINGLE_CHOICE,Você oferece um meio para que os usuários solicitem que os dados deles sejam excluídos? / Não
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,,SINGLE_CHOICE,"Você oferece um meio para que os usuários solicitem que os dados deles sejam excluídos? / Não, mas os dados dos usuários são excluídos automaticamente em 90 dias"
PSL_DATA_DELETION_URL,,,MAYBE_REQUIRED,URL para exclusão de dados
